Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2007-03,10.956538365,11.47631,111.0,51.099,35.817,28.437,1730.804,1470.008,313.117,186.409
2007-06,12.59422332,11.86975,86.0,62.219,48.541,39.279,1717.384,1441.774,326.071,149.985
2007-09,10.699938,12.72358,90.7,38.861,25.106,19.017,1706.113,1372.13,333.983,160.623
2007-12,8.782865775,12.48697,72.0,44.272,25.824,19.77,1643.223,1318.365,324.858,135.725
2008-03,6.504175275,10.4875,90.5,32.228,13.737,12.754,1503.595,1280.053,223.542,-65.382
2008-06,5.541180855,9.38144,65.7,31.16,13.024,12.28,1446.169,1265.636,223.045,125.835
2008-09,4.7951574,8.1608,69.0,26.395,8.841,11.306,1404.436,1183.337,221.099,123.238
2008-12,3.759839325,6.68405,62.5,21.079,3.033,5.641,1255.775,1077.307,219.566,115.217
2009-03,3.985231538,5.65257,57.3,21.385,4.039,6.022,1225.58,1033.646,231.876,117.159
2009-06,6.692414925,7.61021,56.0,58.594,41.1,41.524,1249.528,1033.802,261.042,122.462
2009-09,8.554996725,8.95776,91.5,56.74,41.904,39.376,1343.073,1039.046,304.027,175.113
2009-12,9.2930943,10.40417,90.0,55.338,36.421,31.315,1387.463,1052.157,335.306,213.715
2010-03,9.288140625,10.98586,95.0,44.017,24.353,24.1,1491.295,1194.356,359.395,244.719
2010-06,6.83,10.22599,82.0,41.1,23.003,22.043,1523.452,1211.665,373.624,254.716
2010-09,7.21,10.02184,80.0,36.798,19.834,20.245,1544.416,1243.472,372.229,243.642
2010-12,6.78,8.97,82.5,67.926,43.073,27.915,1560.893,1249.68,392.609,274.248
2011-03,7.89,9.26,94.3,50.177,29.629,26.244,1572.647,1170.479,402.168,284.818
2011-06,6.435,8.955,93.0,39.333,19.0,18.54,1488.184,1105.549,382.635,249.265
2011-09,5.215,7.47273,81.0,29.33,12.69,12.382,1455.339,1065.836,389.503,228.712
2011-12,6.195,6.83337,73.5,46.487,25.894,23.278,1568.476,1140.818,427.658,251.808
2012-03,8.145,8.32,86.0,96.446,72.157,63.306,1751.287,1259.69,491.597,320.03
2012-06,8.08,8.755,123.05,41.772,19.766,15.725,1817.575,1346.314,471.261,291.218
2012-09,8.975,9.1,90.2,66.255,43.845,41.949,2078.945,1562.193,516.752,288.357
2012-12,10.85,10.49444,99.0,71.182,48.683,39.362,2440.171,1849.381,590.79,400.466
2013-03,12.62,14.62444,98.3,70.328,44.18,41.496,2813.263,2183.783,629.48,437.289
2013-06,13.99,16.12,108.4,69.542,42.264,37.059,3006.746,2430.465,576.281,338.836
2013-09,16.89,17.5,107.9,56.474,35.575,31.79,3251.767,2637.392,614.375,362.502
2013-12,19.83,19.29546,103.0,95.008,60.471,45.534,3786.459,3095.94,690.519,645.549
2014-03,25.9,26.10001,127.9,71.743,38.911,36.539,4038.982,3313.504,725.478,679.999
2014-06,18.82,25.3,117.8,89.703,46.441,45.366,4264.565,3625.192,639.373,579.346
2014-09,20.03,23.35625,133.35,78.708,41.325,42.66,4733.463,4049.822,683.641,613.823
2014-12,18.03,21.14375,136.5,96.005,62.286,-31.324,5139.504,4495.587,643.917,569.343
2015-03,26.57,24.89375,148.0,190.11,145.423,127.946,6038.524,5264.843,773.681,713.632
2015-06,26.24,30.415,217.5,108.135,62.189,54.692,6436.364,5771.257,665.107,589.081
2015-09,19.18,26.735,172.0,69.96,28.425,27.303,6433.417,5753.407,680.01,600.057
2015-12,23.06,24.97,143.0,95.671,42.624,40.046,6946.241,6219.024,727.217,588.215
2016-03,20.25,23.38,164.0,65.129,20.815,20.693,7299.685,6558.957,740.728,588.215
2016-06,14.59,22.19091,143.3,103.362,44.868,47.666,7228.581,6544.637,683.944,588.215
2016-09,13.1,18.10009,171.7,114.859,59.59,55.436,7479.865,6739.172,740.693,495.714
2016-12,15.86,18.67273,178.05,127.65,60.048,53.508,7727.276,7082.209,645.067,438.832
2017-03,16.33,19.095,192.0,139.188,79.163,74.564,8368.063,7676.771,691.292,834.274
2017-06,17.55,19.72273,166.5155,112.411,52.837,50.728,8042.749,7528.809,513.94,394.919
2017-09,18.3,19.54091,189.2,97.95,39.561,37.537,8065.513,7498.665,566.848,465.678
2017-12,15.97,17.97308,179.5,139.12,75.462,63.08,8106.607,7494.419,612.188,498.687
2018-03,17.445,19.33077,201.0,98.422,32.09,30.376,7841.634,7203.365,638.269,489.022
2018-06,13.255,17.22692,177.3,124.177,59.146,53.241,7604.268,7024.764,579.504,293.429
2018-09,13.0,15.66786,186.3,111.591,46.297,42.808,7577.569,6975.509,602.06,309.379
2018-12,9.534,13.1625,183.5,91.156,18.573,14.572,7085.877,6461.42,624.457,323.113
2019-03,15.15,14.93333,182.75,174.002,105.423,94.625,7635.545,6927.843,707.702,615.976
2019-06,16.93,16.95,238.0,159.759,88.31,83.543,7505.159,6905.735,599.424,474.396
2019-09,17.22,17.03636,230.0,154.579,84.0,78.979,7676.962,7005.155,671.807,504.475
2019-12,21.28,18.41,233.5,272.803,191.649,130.795,8253.66,7482.129,771.531,984.685
2020-03,13.18,18.76364,306.0,136.149,56.741,51.983,7577.717,6809.727,767.99,1017.078
2020-06,15.21,16.60833,306.0,184.41,110.503,96.648,7829.955,7155.258,674.697,821.778
2020-09,15.42,18.30769,229.0,176.359,103.443,89.908,8050.082,7301.062,749.02,833.926
2020-12,17.77,19.3,232.0,254.629,168.71,150.135,8473.501,7587.439,886.062,927.119
2021-03,19.435,21.58333,312.0,196.941,113.696,98.333,8977.366,7961.871,1015.495,1041.593
2021-06,20.48,23.87143,245.0,199.091,114.252,130.387,9131.462,8243.485,887.977,948.231
2021-09,23.76,25.51539,245.0,204.7,117.128,98.427,9364.657,8411.576,953.081,1015.394
2021-12,24.68,28.36923,285.0,496.147,374.622,284.933,9922.499,8686.917,1235.582,1261.512
2022-03,21.13,26.875,566.775,496.147,374.622,284.933,9922.499,8686.917,1235.582,1261.512
