Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2009-03,14.62,20.37037,24119.9485,23741.0,3974.0,2110.0,116673.0,68163.0,48510.0,1845.0
2009-06,16.85,20.72379,19671.5,18267.0,2752.0,1040.0,112171.0,61962.0,50209.0,1845.0
2009-09,17.08,18.94444,18158.5,19142.0,3234.0,1489.0,112171.0,61962.0,50209.0,1744.0
2009-12,17.8,19.65679,15457.5295,22077.0,3171.0,678.0,117529.0,67478.0,50051.0,1608.0
2010-03,17.37,19.53448,18919.0,24804.0,4879.0,2419.0,123953.0,69631.0,54322.0,2445.0
2010-06,15.19,19.66786,23069.5,22902.0,4362.0,1939.0,128813.0,71438.0,57375.0,1675.0
2010-09,15.83,19.66852,21150.0,22704.0,4100.0,2181.0,125418.0,71302.0,54116.0,1512.0
2010-12,16.34,19.0463,20496.0,26207.0,2246.0,725.0,131860.0,76132.0,55728.0,1549.0
2011-03,17.33,20.02,24553.37,28779.0,5655.0,2959.0,131015.0,74149.0,56866.0,1922.0
2011-06,16.31,20.23871,26000.557,23747.0,3797.0,1517.0,130679.0,74975.0,55704.0,1474.0
2011-09,13.22,18.42344,23292.498,25516.0,4281.0,1834.0,137371.0,79715.0,57656.0,1541.0
2011-12,16.01,18.96581,25148.9085,29648.0,4100.0,1567.0,142945.0,82552.0,60393.0,1500.0
2012-03,17.59,19.85111,26570.4765,33140.0,6560.0,3794.0,145222.0,81894.0,63328.0,1990.0
2012-06,16.78,19.82148,33054.9015,30063.0,3944.0,245.0,150515.0,86941.0,63574.0,4640.0
2012-09,17.02,19.79679,33054.9015,31494.0,4090.0,2804.0,155599.0,91358.0,64241.0,5867.0
2012-12,18.34,20.01069,24915.786,32412.0,4581.0,-1896.0,140192.0,77775.0,62417.0,7936.0
2013-03,17.53,20.15857,31494.0,31166.0,3884.0,1555.0,147415.0,82158.0,65257.0,10261.0
2013-06,15.78,19.59259,33784.0,28121.0,1538.0,-120.0,137585.0,75740.0,61845.0,8074.0
2013-09,16.95,19.30083,29651.0045,29775.0,3333.0,4112.0,137815.0,75206.0,62609.0,6196.0
2013-12,17.49,19.15828,30742.37,9485.0,1680.0,-1651.0,138341.0,77292.0,61049.0,5431.0
2014-03,18.21,18.53393,29556.18,29203.0,3701.0,1337.0,140462.0,78063.0,62399.0,6724.0
2014-06,19.98,18.93226,28389.469,27353.0,2574.0,581.0,140076.0,78815.0,61261.0,6518.0
2014-09,18.87,19.63387,27651.871,26600.0,2617.0,1596.0,144959.0,80935.0,64024.0,5471.0
2014-12,14.51,17.9,27610.851,15062.0,2541.0,-1706.0,150366.0,84725.0,65641.0,6614.0
2015-03,16.13,16.03871,27156.02,19988.0,1697.0,474.0,156617.0,88415.0,68202.0,7270.0
