Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2005-03,4.558552639,10.78167,845.6,706.243,198.53,7.978,2035.314,1662.51,372.804,185.5
2005-06,4.306923693,10.70304,845.6,885.862,325.266,40.304,2654.104,2270.155,383.949,131.0
2005-09,4.637557017,10.90206,845.6,1058.888,409.285,77.39,2733.935,2271.078,462.857,184.2
2005-12,4.566058054,11.09224,845.6,1034.03,49.417,13.816,2662.931,2195.669,482.641,75.7
2006-03,4.835858007,11.6097,996.75,856.638,254.965,9.402,2626.632,2333.79,484.158,63.5
2006-06,4.748953191,11.89719,810.15,986.337,337.344,44.934,2552.134,2352.538,461.119,68.5
2006-09,4.958314794,12.06918,945.5,1129.161,434.479,94.63,2621.162,2086.523,552.199,223.7
2006-12,5.501864918,12.63297,1074.85,1131.711,55.449,14.326,2593.529,2046.446,556.578,181.6
2007-03,5.664613937,13.30844,1023.0,918.3,36.4,11.8,2526.693,2211.395,561.871,80.5
2007-06,6.197893492,13.64859,891.25,1198.752,85.044,43.51,3193.682,2977.413,522.006,152.8
2007-09,5.333980613,14.74785,1097.85,1473.148,169.477,96.39,3175.548,2887.132,607.622,194.3
2007-12,4.60279509,14.22649,1415.0,1452.582,41.413,20.148,3180.247,2580.059,621.568,152.7
2008-03,3.734141949,13.09133,1345.0,1112.6,21.7,-1.5,2996.0,2411.0,585.0,121.4
2008-06,3.01204193,12.45854,1083.0,1531.111,85.704,42.13,4414.206,3872.837,549.724,188.1
2008-09,3.138448935,10.34922,1441.0,1680.589,161.838,83.97,4415.3,3782.1,633.2,195.0
2008-12,2.121267562,7.85185,1712.15,1698.022,-7.903,-21.023,4413.492,3979.276,512.879,192.0
2009-03,1.714395013,6.7845,1564.45,1249.4,11.9,-22.2,4228.4,3698.8,529.6,148.3
2009-06,2.372106464,6.8641,1215.5,1292.9,74.3,35.9,4302.444,4112.635,605.593,169.9
2009-09,3.262880831,7.68197,1471.0,1518.8,126.0,64.3,4302.444,4112.635,605.593,147.8
2009-12,3.484093091,8.5359,1638.0,1493.463,17.889,-47.017,4204.591,3711.661,563.378,179.7
2010-03,3.559147251,9.07927,1439.0,1187.9,22.7,-5.7,4204.591,3711.661,563.378,190.5
2010-06,3.894915859,9.21827,1227.0,1454.2,74.8,30.5,4513.136,3895.293,709.879,189.8
2010-09,3.63420141,9.53417,1507.0,1671.1,150.3,88.6,4513.136,3895.293,709.879,170.5
2010-12,4.175381403,9.98361,1621.0,1552.148,42.416,-29.62,3943.113,3657.893,711.367,156.9
2011-03,3.924542501,10.34424,1451.0,1239.8,14.1,-2.3,3943.113,3657.893,711.367,114.2
2011-06,3.574948126,10.30263,1207.5,1490.9,94.1,46.5,3750.496,3094.416,656.08,123.1
2011-09,2.994265945,9.89516,1438.5,1709.6,157.7,91.1,3750.496,3094.416,656.08,148.6
2011-12,2.978465069,9.33602,1650.5,2113.985,37.074,3.825,3989.772,3190.354,799.418,179.6
2012-03,3.126598279,8.25445,1517.25,1241.5,-4.1,-16.3,3989.772,3190.354,780.3,132.7
2012-06,2.822431421,8.09362,1224.25,913.72,14.426,-9.519,4065.856,3289.11,776.746,123.0
2012-09,2.921186894,7.8172,1519.0,1146.5,101.3,54.2,4065.856,3289.11,872.6,136.2
2012-12,3.430765136,7.95686,1750.5,1679.448,14.753,-20.965,3917.307,3103.27,814.037,96.77
2013-03,3.646052067,8.69988,1549.9,841.9,-27.3,-40.9,3917.307,3103.27,778.9,154.4
2013-06,4.218833811,9.63905,1254.6,870.791,13.624,-4.022,3917.307,3103.27,807.3,170.26
2013-09,5.131334383,10.48131,1532.0,1107.1,99.1,63.9,3917.307,3103.27,899.0,191.8
2013-12,5.43113086,6.36467,1130.2,1601.022,1.022,-22.767,3917.307,3103.27,444.8,129.579
2014-03,6.576621815,6.79747,1034.0,813.0,-27.2,-36.6,3917.307,3103.27,409.3,103.4
2014-06,5.692072815,6.57102,1034.0,974.3,41.4,18.2,3917.307,3103.27,426.3,113.28
2014-09,5.515163015,6.63578,1096.6,1081.3,97.1,65.4,3917.307,3103.27,516.0,173.5
2014-12,5.52843125,6.3096,1096.6,1592.866,17.473,-9.922,3917.307,3103.27,490.7,142.814
2015-03,7.991900215,7.87131,1096.6,893.5,-26.0,-38.9,3917.307,3103.27,501.7,79.2
