Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2005-09,14.85596507,12.97408,2881.0,2614.0,156.0,76.0,21395.0,16757.0,4638.0,438.0
2005-12,14.69775075,15.26874,3689.0,3905.0,329.0,206.0,21877.0,17433.0,4444.0,1061.0
2006-03,16.852521915,17.54795,3689.2,2509.0,-57.0,383.0,21849.0,16844.0,5005.0,686.0
2006-06,15.6056852,17.17337,3023.5,3064.0,-7.0,193.0,22638.0,17823.0,4815.0,680.0
2006-09,15.83042145,17.40469,3022.75,2730.0,4.0,37.0,23064.0,18115.0,4949.0,422.0
2006-12,18.4643303,18.23967,2755.0,3370.0,-325.0,417.0,23403.0,18083.0,5320.0,2003.0
2007-03,20.25323085,21.11964,4059.1705,2575.0,-56.0,19.0,22489.0,17100.0,5389.0,472.0
2007-06,20.52291435,21.90125,2793.0,2999.0,-113.0,158.0,23112.0,17703.0,5409.0,411.0
2007-09,18.36544635,21.76801,2793.0,2765.0,-102.0,117.0,23320.0,17962.0,5358.0,404.0
2007-12,19.74982165,21.25715,3175.0,4278.0,-135.0,227.0,24048.0,18616.0,5432.0,1607.0
2008-03,19.3632753,21.98795,4219.0,2645.0,-141.0,126.0,23338.0,18157.0,5181.0,789.0
2008-06,14.98721104,20.92135,2945.0,3158.0,-96.0,171.0,23910.0,18776.0,5134.0,314.0
2008-09,13.6999218,20.01905,3520.5,2950.0,-102.0,99.0,24538.0,19141.0,5397.0,412.0
2008-12,10.89,14.8953,3260.0,6051.0,642.0,225.0,29922.0,23792.0,6130.0,2297.0
2009-03,9.37,12.8,5239.0,3911.0,228.0,108.0,29651.0,23338.0,6313.0,729.0
2009-06,10.03,12.42105,3741.0,4612.0,351.0,134.0,29999.0,23680.0,6319.0,718.0
2009-09,12.08,12.6025,4266.0,4117.0,260.0,122.0,29748.0,23463.0,6285.0,511.0
2009-12,11.19,13.14571,4009.0,6307.0,649.0,373.0,30485.0,23936.0,6549.0,2630.0
2010-03,9.88,11.5881,5447.0,4039.0,233.0,91.0,29796.0,23021.0,6775.0,636.0
2010-06,8.54,11.51591,3977.0,4651.0,301.0,105.0,31443.0,24537.0,6906.0,919.0
2010-09,8.715,10.87136,4693.0,4234.0,239.0,125.0,31054.0,24325.0,6729.0,860.0
2010-12,8.505,10.105,4151.847,5771.0,464.0,236.0,31082.0,23984.0,7098.0,1854.0
2011-03,8.88,9.908,5587.232,3855.0,186.0,7.0,30185.0,23182.0,7003.0,769.0
2011-06,8.345,9.771,4055.0,4569.0,302.0,288.0,30063.0,22954.0,7109.0,734.0
2011-09,5.225,5.81826,4585.0,3828.0,-923.0,-780.0,30802.0,24388.0,6414.0,501.0
2011-12,2.858,3.7585,4030.0,5066.0,-1783.0,-1982.0,30593.0,25989.0,4604.0,1331.0
2012-03,4.06,3.8965,5078.0,3686.0,147.0,25.0,30491.0,25885.0,4606.0,943.0
2012-06,3.18,3.99,3665.0,4341.0,246.0,42.0,31165.0,26495.0,4670.0,814.0
2012-09,3.696,3.96667,4417.0,3970.0,234.0,67.0,31191.0,26502.0,4689.0,1093.0
2012-12,4.352,4.01471,3764.0,3970.0,234.0,67.0,31191.0,26502.0,4689.0,1093.0
2013-03,3.75,4.13875,3764.0,3099.0,138.0,2.0,30173.0,26533.0,3640.0,1212.0
2013-06,3.848,4.15882,3693.5,3531.0,159.0,-72.0,29631.0,26057.0,3574.0,1054.0
2013-09,4.422,4.31333,4269.0,3098.0,75.0,-75.0,30172.0,26739.0,3433.0,914.0
2013-12,5.505,5.14,4020.0,3962.0,-66.0,-413.0,26703.0,23024.0,3679.0,1455.0
2014-03,7.165,6.61,4696.0,2548.0,126.0,-15.0,26137.0,22481.0,3656.0,633.0
2014-06,6.945,6.79375,3100.0,3161.0,93.0,-46.0,26451.0,22771.0,3680.0,651.0
2014-09,7.705,7.32143,3484.5,2895.0,161.0,7.0,27513.0,23721.0,3792.0,630.0
2014-12,7.735,8.26214,3484.5,4160.0,405.0,19.0,27896.0,24042.0,3854.0,1495.0
2015-03,11.08,11.10929,3484.5,2654.0,121.0,4.0,28364.0,24361.0,4003.0,417.0
2015-06,11.28,11.96867,3232.483,3319.0,217.0,87.0,28614.0,24396.0,4218.0,611.0
2015-09,11.19,13.10867,3232.483,3028.0,269.0,59.0,28187.0,23946.0,4241.0,401.0
2015-12,12.9,13.6625,3051.666,3994.0,317.0,119.0,26236.0,21934.0,4302.0,1771.0
2016-03,11.15,13.64375,3838.0,2536.0,133.0,56.0,26236.0,21934.0,4182.0,884.0
2016-06,9.06,13.44667,2586.0,2877.0,199.0,144.0,26236.0,21934.0,4216.0,811.0
2016-09,10.09,12.62,3127.182,2621.0,190.0,143.0,26236.0,21934.0,4062.0,1040.0
2016-12,13.34,13.14688,2849.0,3968.0,338.0,202.0,26236.0,21934.0,4373.0,2167.0
2017-03,13.29,14.81875,3994.3675,2361.0,108.0,49.0,26236.0,21934.0,4150.0,1752.0
2017-06,14.55,16.19375,2424.0,3135.0,252.0,164.0,26236.0,21934.0,4428.0,1842.0
2017-09,15.85,16.2,2865.0,2552.0,129.0,52.0,26236.0,21934.0,4178.0,1574.0
2017-12,9.92,13.57188,2608.5,3686.0,234.0,14.0,26236.0,21934.0,4213.0,1893.0
2018-03,9.378,11.59688,3616.3045,2451.0,110.0,50.0,26236.0,21934.0,4180.0,825.0
2018-06,8.466,11.58438,2414.5,3138.0,253.0,56.0,26236.0,21934.0,4197.0,976.0
2018-09,10.38,11.89667,3041.733,2651.0,116.0,58.0,26236.0,21934.0,4354.0,1007.0
2018-12,7.678,11.475,3041.733,4000.0,327.0,257.0,26236.0,21934.0,4510.0,2049.0
2019-03,10.36,11.75833,2627.9,2725.0,166.0,77.0,26236.0,21934.0,4709.0,1011.0
2019-06,11.145,12.25,2627.9,3237.0,273.0,175.0,26236.0,21934.0,4717.0,1179.0
2019-09,10.79,12.78667,3311.3525,3172.0,169.0,115.0,26236.0,21934.0,4947.0,1024.0
2019-12,10.45,13.14,2873.0,4650.0,456.0,355.0,26236.0,21934.0,5334.0,1962.0
2020-03,6.072,12.39231,3879.0,2591.0,46.0,-59.0,26236.0,21934.0,5368.0,714.0
2020-06,5.9,9.05,2525.689,3287.0,256.0,118.0,25881.0,20940.0,4941.0,429.0
2020-09,5.0,8.65,2581.5055,3147.0,212.0,76.0,25881.0,20940.0,5079.0,405.0
2020-12,5.91,7.72,2932.81,4385.0,374.0,106.0,27073.0,21795.0,5278.0,2213.0
2021-03,6.904,8.79133,4526.0,2790.0,89.0,-2.0,27073.0,21795.0,5502.0,408.0
2021-06,6.812,8.94,2676.0,3555.0,271.0,179.0,26086.0,20302.0,5784.0,387.0
2021-09,7.114,9.00071,3347.165,3219.0,189.0,52.0,26086.0,20302.0,5079.0,467.0
2021-12,6.3,8.66071,3255.41,4571.0,428.0,358.0,28379.0,21924.0,6455.0,2479.0
2022-03,9.02,10.71,4654.67,4571.0,428.0,358.0,28379.0,21924.0,6455.0,2479.0
