Date,Price Close,Price Target,Revenue - Median,Revenue,Operating Profit,Net Income after Tax,Total Assets,Total Liabilities,Shareholders Equity,Net Cash
2005-03,6.507219712,6.18145,10112.0,8387.0,1466.0,787.0,60106.0,40074.0,20032.0,402.0
2005-06,6.34678704,6.32057,10112.0,7437.0,1295.0,1314.0,67056.0,47639.0,19417.0,402.0
2005-09,6.316816101,6.44445,7500.0,8212.0,1358.0,531.0,51647.0,32954.0,18693.0,402.0
2005-12,5.846096062,6.37429,7500.0,7929.0,-253.0,-448.0,50502.0,31086.0,19416.0,402.0
2006-03,6.152857436,6.42246,9310.0,10251.0,1760.0,779.0,51300.0,30952.0,20348.0,1395.0
2006-06,5.942179366,6.42637,8879.0,8324.0,1906.0,1045.0,53146.0,34151.0,18995.0,521.0
2006-09,6.342379549,6.49243,8924.5,9553.0,1500.0,557.0,53922.0,35417.0,18505.0,712.0
2006-12,6.888908433,6.62796,8501.5,9369.0,1004.0,619.0,54500.0,35475.0,19025.0,572.0
2007-03,7.060800582,6.99928,7879.0,9728.0,1709.0,1175.0,61572.0,41051.0,20521.0,656.0
2007-06,7.029948145,7.1905,10062.0,9129.0,1455.0,1682.0,71062.0,51349.0,19713.0,628.0
2007-09,6.999095708,7.35728,8973.0,9903.0,1587.0,1028.0,73341.0,54365.0,18976.0,1816.0
2007-12,7.170987857,7.60654,9310.0,14928.0,2066.0,2303.0,130851.0,104218.0,26633.0,1463.0
2008-03,5.923667904,7.32926,12753.661,15082.0,2342.0,1599.0,127128.0,102222.0,24906.0,1589.0
2008-06,5.32336763,7.00472,14023.5,14242.0,2609.0,1877.0,127064.0,101975.0,25089.0,7394.0
2008-09,5.192024398,6.79889,13400.98,15990.0,2661.0,2267.0,127369.0,101429.0,25940.0,4809.0
2008-12,3.98657561,5.45534,13779.0,15870.0,1949.0,1469.0,133077.0,106788.0,26289.0,5211.0
2009-03,3.184412248,4.25401,13937.5,15116.0,2998.0,3594.0,134434.0,106453.0,27981.0,4105.0
2009-06,3.47,4.32817,13937.5,13594.0,3247.0,1939.0,159513.0,118676.0,40837.0,3485.0
2009-09,4.3375,4.59261,14000.0,16207.0,3035.0,3917.0,160199.0,118029.0,42170.0,4440.0
2009-12,4.0475,4.63286,15807.4045,18793.0,2288.0,1645.0,162331.0,116398.0,45933.0,4289.0
2010-03,4.14,4.66143,18035.119,18117.0,3052.0,2208.0,164867.0,118566.0,46301.0,6103.0
2010-06,3.49,4.70276,16660.1795,18117.0,3052.0,2208.0,167396.0,117467.0,49929.0,6103.0
2010-09,3.91,4.63036,16879.6795,18170.0,2765.0,479.0,166932.0,117965.0,48967.0,3617.0
2010-12,3.74,4.59613,17411.1795,20405.0,2222.0,816.0,168562.0,114696.0,53866.0,5342.0
